stateid,ccode,country,electionid,year,mmdd,types,notes,nelda1,nelda1notes,nelda2,nelda2notes,nelda3,nelda3notes,nelda4,nelda4notes,nelda5,nelda5notes,nelda6,nelda6notes,nelda7,nelda7notes,nelda8,nelda8notes,nelda9,nelda9notes,nelda10,nelda10notes,nelda11,nelda11notes,nelda12,nelda12notes,nelda13,nelda13notes,nelda14,nelda14notes,nelda15,nelda15notes,nelda16,nelda16notes,nelda17,nelda17notes,nelda18,nelda18notes,nelda19,nelda19notes,nelda20,nelda20notes,nelda21,nelda21notes,nelda22,nelda22notes,nelda23,nelda23notes,nelda24,nelda24notes,nelda25,nelda25notes,nelda26,nelda26notes,nelda27,nelda27notes,nelda28,nelda28notes,nelda29,nelda29notes,nelda30,nelda30notes,nelda31,nelda31notes,nelda32,nelda32notes,nelda33,nelda33notes,nelda34,nelda34notes,nelda35,nelda35notes,nelda36,nelda36notes,nelda37,nelda37notes,nelda38,nelda38notes,nelda39,nelda39notes,nelda40,nelda40notes,nelda41,nelda41notes,nelda42,nelda42notes,nelda43,nelda43notes,nelda44,nelda44notes,nelda45,nelda45notes,nelda46,nelda46notes,nelda47,nelda47notes,nelda48,nelda48notes,nelda49,nelda49notes,nelda50,nelda50notes,nelda51,nelda51notes,nelda52,nelda52notes,nelda53,nelda53notes,nelda54,nelda54notes,nelda55,nelda55notes,nelda56,nelda56notes,nelda57,nelda57notes,nelda58,nelda58notes
USA,2,United States of America,002-1946-1105-L1,1946,1105,Legislative/Parliamentary,"Took place one year after President Roosevelt died in office, and was largely seen as a referendum on the unpopular President Truman, who had a rating of 32%.",no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,N/A,,N/A,,N/A,,yes,,yes,,no,,yes,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Harry Truman,,Harry Truman,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"UK, France",,no,,no,,no,,no,
USA,2,United States of America,002-1948-1102-L1,1948,1102,Legislative/Parliamentary,Took place concurrently with Truman's first campaign for presidency; considered a referendum for civil rights.,no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,no,,N/A,,N/A,,N/A,,no,,yes,,no,,no,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Harry Truman,,Harry Truman,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"UK, France, NATO",,no,,no,,no,,no,
USA,2,United States of America,002-1948-1102-P1,1948,1102,Executive,Truman's first campaign for presidency; considered a referendum on civil rights; widely believed that Dewey would beat Truman.,no,,no,,yes,,yes,,yes,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,yes,,yes,,N/A,,N/A,,no,,yes,,no,,no,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,no,,N/A,,N/A,,N/A,,Harry Truman,,Harry Truman,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"UK, France, NATO",,no,,no,,no,,no,
USA,2,United States of America,002-1950-1107-L1,1950,1107,Legislative/Parliamentary,"Truman's second midterm elections; with the Korean War, his popularity was once again down and his party (Democrats) lost seats in both chambers.",no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,no,,N/A,,N/A,,N/A,,no,,yes,,no,,yes,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Harry Truman,,Harry Truman,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"UK, France, NATO",,no,,no,,no,,no,
USA,2,United States of America,002-1952-1104-L1,1952,1104,Legislative/Parliamentary,"Concurrent with the presidential election of Dwight Eisenhower; Republicans gained control of Congress, due to unhappiness over the Korean War and Truman's low popularity.",no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,no,,N/A,,N/A,,N/A,,yes,,yes,,no,,yes,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Harry Truman,,Dwight Eisenhower,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"UK, France, NATO",,no,,no,,no,,no,
USA,2,United States of America,002-1952-1104-P1,1952,1104,Executive,Unpopular Truman (who could not run again due to term limits) part of the reason Republican Eisenhower elected; first Republican in decades.,no,,no,,yes,,yes,,yes,,no,,yes,,yes,,no,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,yes,,no,,no,,N/A,,yes,,yes,,no,,yes,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,yes,,no,,no,,no,,Harry Truman,,Dwight Eisenhower,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"UK, France, NATO",,no,,yes,,no,,no,
USA,2,United States of America,002-1954-1102-L1,1954,1102,Legislative/Parliamentary,"Eisenhower's first midterm election; the Democrats regained control of Congress, partially due to the Army- McCarthy hearings.",no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,no,,N/A,,N/A,,N/A,,yes,,yes,,yes,,yes,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Dwight Eisenhower,,Dwight Eisenhower,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"UK, France, NATO",,no,,no,,no,,no,
USA,2,United States of America,002-1956-1106-L1,1956,1106,Legislative/Parliamentary,Concurrent with presidential race in which Eisenhower won as an incumbent; Senate gains cancelled each other while two Republican House seats went to the Democrats.,no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,no,,N/A,,N/A,,N/A,,yes,,yes,,yes,,yes,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Dwight Eisenhower,,Dwight Eisenhower,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"UK, France, NATO",,no,,no,,no,,no,
USA,2,United States of America,002-1956-1106-P1,1956,1106,Executive,Eisenhower won reelection in a landslide.,no,,no,,yes,,yes,,yes,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,yes,,no,,no,,yes,,yes,,N/A,,N/A,,no,,yes,,yes,,no,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,no,,N/A,,N/A,,N/A,,Dwight Eisenhower,,Dwight Eisenhower,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"UK, France, NATO",,no,,no,,no,,no,
USA,2,United States of America,002-1958-1104-L1,1958,1104,Legislative/Parliamentary,"Eisenhower's second midterm elections; Republicans lost huge numbers, partly due to the Recession of 1958 (unemployment was high)",no,,no,,yes,,yes,,yes,,no,,N/A,,N/A,,N/A,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,N/A,,N/A,,N/A,,yes,,yes,,no,,yes,,N/A,,no,,N/A,,N/A,,no,,no,,no,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Dwight Eisenhower,,Dwight Eisenhower,,no,,N/A,,N/A,,no,,no,,N/A,,N/A,,N/A,,yes,,"UK, France, NATO",,no,,no,,no,,no,
