obsid,leadid,ccode,idacr,leader,startdate,eindate,enddate,eoutdate,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,borndate,ebirthdate,deathdate,edeathdate,dbpediauri,numentry,numexit,numexitcode,numposttenurefate,fties,ftcur
USA-1869,81dcc176-1e42-11e4-b4cd-db5882bf8def,2,USA,Grant,1869-03-04,04mar1869,1877-03-04,04mar1877,Regular,Regular,Regular,0,OK,M,1822,1885,NA,,1885-07-23,23jul1885,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Ulysses-5FS.-5FGrant&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=x7yRI4mbwG8b0j8c_AwqAahtkPcCfIY2uH8tdRaReBw&e=,0,1,0,0,NA,NA
USA-1877,81dcc177-1e42-11e4-b4cd-db5882bf8def,2,USA,Hayes,1877-03-04,04mar1877,1881-03-04,04mar1881,Regular,Regular,Regular,0,OK,M,1822,1893,NA,,1893-01-17,17jan1893,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Rutherford-5FB.-5FHayes&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=8oshcxB52W-Pg-2a6AvRVJEYMU-S-RG55-369eJ-PyY&e=,0,1,0,0,NA,NA
USA-1881-1,81dcf24a-1e42-11e4-b4cd-db5882bf8def,2,USA,Garfield,1881-03-04,04mar1881,1881-09-19,19sep1881,Regular,Irregular,Assassination by Unsupported Individual,0,Death,M,1831,1881,NA,,1881-09-19,19sep1881,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_James-5FA.-5FGarfield&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=qTPSlRS-mPD_m8ZM3luuJ4W47DtmOPoXSnSZn-lYsqM&e=,0,3,11,3,NA,NA
USA-1881-2,81dcf24b-1e42-11e4-b4cd-db5882bf8def,2,USA,Arthur,1881-09-19,19sep1881,1885-03-04,04mar1885,Regular,Regular,Regular,0,OK,M,1829,1886,NA,,1886-11-18,18nov1886,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Chester-5FA.-5FArthur&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=XiglK4IJ3ZCC1kR4Hmb8eVB-V7A0tQprCtTKzOl42YM&e=,0,1,0,0,NA,NA
USA-1885,34fb1558-3bbd-11e5-afeb-eb6f07f9fec7,2,USA,Cleveland,1885-03-04,04mar1885,1889-03-04,04mar1889,Regular,Regular,Regular,0,OK,M,1837,1908,NA,,1908-06-24,24jun1908,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Grover-5FCleveland&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=BH6RahZV58hS1fIGz1muHnQkbAirSz4Yy2wc6chejsQ&e=,0,1,0,0,NA,NA
USA-1889,81dcf24d-1e42-11e4-b4cd-db5882bf8def,2,USA,Harrison,1889-03-04,04mar1889,1893-03-04,04mar1893,Regular,Regular,Regular,0,OK,M,1833,1901,NA,,1901-03-13,13mar1901,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Benjamin-5FHarrison&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=MA-TUrYNLJuZ9PTyDnsCkyBUtUyUkXWBHX7_p3f3pnA&e=,0,1,0,0,NA,NA
USA-1893,34fb1558-3bbd-11e5-afeb-eb6f07f9fec7,2,USA,Cleveland,1893-03-04,04mar1893,1897-03-04,04mar1897,Regular,Regular,Regular,1,OK,M,1837,1908,NA,,1908-06-24,24jun1908,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Grover-5FCleveland&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=BH6RahZV58hS1fIGz1muHnQkbAirSz4Yy2wc6chejsQ&e=,0,1,0,0,NA,NA
USA-1897,81dcf24e-1e42-11e4-b4cd-db5882bf8def,2,USA,McKinley,1897-03-04,04mar1897,1901-09-14,14sep1901,Regular,Irregular,Assassination by Unsupported Individual,0,Death,M,1843,1901,NA,,1901-09-14,14sep1901,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_William-5FMcKinley&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=c1fTbGMfG49MP3oJebg3Hp83_F7aiBUUfKgnhRd8AWs&e=,0,3,11,3,NA,NA
USA-1901,81dd231e-1e42-11e4-b4cd-db5882bf8def,2,USA,"Roosevelt, T.",1901-09-14,14sep1901,1909-03-04,04mar1909,Regular,Regular,Regular,0,OK,M,1858,1919,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Theodore-5FRoosevelt&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=mdUxrnAfyEPLl3hgYW-m-YrEL1hVsBHltrXf6_VHzrA&e=,0,1,0,0,"Uncle (distant) of Roosevelt, F.%81dd53f3-1e42-11e4-b4cd-db5882bf8def",0
USA-1909,81dd231f-1e42-11e4-b4cd-db5882bf8def,2,USA,Taft,1909-03-04,04mar1909,1913-03-04,04mar1913,Regular,Regular,Regular,0,OK,M,1857,1930,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_William-5FHoward-5FTaft&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=bhEfrjiKenGUoUgvh3M4oCxkX9bJoHnDemF4c6OtEtE&e=,0,1,0,0,NA,NA
