,country_x,Opposition Challenge,OppBoycott,year,client,PollsBad,PollsGood,IncumbentRan,GoodEcon,polcomp,adjexconst,IOScore,reltradelog,transition,PostCW,Opposition Win,Transitional,OppGain,EconCrisis,exconst,tenure,leverage,Harrass,Rentier,v2x_polyarchy,ViolenceAfter,Violence,PostProtestFraud,longten,Major Aid Recipient
39,Cuba,0,0,1948,0,0,0,0,1,7.0,3.0,2.0,0.21052971172008023,0,0,0,0,0,0,3.0,4.0,0,0,1,0.439,0,0,0,0,1
40,Haiti,0,0,1950,0,0,0,1,1,4.0,5.0,2.0,0.014258626471873391,0,0,0,0,0,0,5.0,4.0,0,0,0,0.169,0,0,0,0,0
45,Haiti,0,1,1995,0,0,0,0,0,7.0,6.0,2.0,0.0488269616595937,0,1,0,0,0,1,6.0,1.0,0,0,1,0.24,0,0,0,0,1
46,Haiti,0,1,2000,0,0,1,0,0,-88.0,6.75,2.0,0.1258575527202314,1,1,0,0,0,1,-88.0,4.0,1,1,1,0.49,0,1,0,0,1
50,Dominican Republic,0,0,1947,0,0,0,1,1,1.0,1.0,1.0,0.04367400452183328,0,0,0,0,0,0,1.0,17.0,0,0,0,0.148,0,0,0,1,0
53,Dominican Republic,0,1,1970,0,0,0,1,1,6.0,3.0,2.0,0.07233167824858666,0,0,0,0,0,0,3.0,4.0,0,0,0,0.281,0,0,0,0,0
54,Dominican Republic,1,1,1974,0,0,0,1,1,6.0,3.0,2.0,0.13200157183806493,0,0,0,0,0,0,3.0,8.0,0,0,0,0.275,0,0,1,0,0
55,Dominican Republic,1,0,1978,0,0,0,1,1,6.0,3.0,2.0,0.2014025996650395,0,0,1,0,1,0,3.0,12.0,0,0,0,0.282,1,0,1,0,0
56,Dominican Republic,0,0,1982,0,0,0,0,0,7.0,5.0,2.0,0.26666118530687494,0,0,0,0,0,1,5.0,4.0,0,0,1,0.487,0,0,0,0,1
57,Dominican Republic,1,0,1986,0,0,0,0,0,7.0,5.0,2.0,0.23189195637112353,0,0,1,0,1,0,5.0,4.0,0,0,1,0.515,0,0,1,0,1
58,Dominican Republic,1,0,1990,0,1,0,1,0,7.0,5.0,2.0,0.35982581158041216,0,1,0,0,0,1,5.0,4.0,0,0,0,0.519,0,1,1,0,0
59,Dominican Republic,1,0,1994,0,0,0,1,0,7.0,5.0,2.0,0.4581438790644295,0,1,0,0,0,1,5.0,8.0,0,1,0,0.433,1,1,1,0,0
60,Dominican Republic,1,0,1996,0,0,0,0,0,7.0,5.0,2.0,0.46867533415474544,0,1,1,0,1,1,5.0,10.0,0,1,0,0.459,0,1,0,0,0
61,Dominican Republic,1,0,1996,0,0,0,0,0,7.0,5.0,2.0,0.46867533415474544,0,1,1,0,1,1,5.0,10.0,0,1,0,0.459,0,1,0,0,0
66,Jamaica,1,0,1967,0,0,0,0,0,10.0,7.0,1.0,0.20619763833326138,0,0,0,0,0,0,7.0,5.0,0,0,1,0.553,0,1,1,0,1
67,Jamaica,1,0,1972,0,0,0,1,0,10.0,7.0,2.0,0.27781008385283384,0,0,1,0,1,0,7.0,5.0,0,0,1,0.566,0,0,0,0,1
68,Jamaica,0,0,1976,0,0,0,1,0,10.0,7.0,2.0,0.4398341663237268,0,0,0,0,0,0,7.0,4.0,0,1,1,0.567,0,0,0,0,1
69,Jamaica,1,0,1980,0,0,0,1,0,10.0,7.0,2.0,0.3973555828282983,0,0,1,0,1,0,7.0,8.0,0,0,1,0.515,0,1,0,0,1
70,Jamaica,0,1,1983,0,0,1,1,0,10.0,7.0,2.0,0.4206793813175734,0,0,0,0,0,0,7.0,3.0,0,0,1,0.473,0,0,0,0,1
71,Jamaica,1,0,1989,0,1,0,1,0,10.0,7.0,2.0,0.5007132495474715,0,0,1,0,1,0,7.0,9.0,0,0,1,0.53,0,0,0,0,1
72,Jamaica,0,0,1993,0,0,1,1,1,10.0,7.0,2.0,0.6417108576622138,0,1,0,0,0,0,7.0,1.0,0,1,1,0.588,0,1,0,0,1
77,Trinidad and Tobago,0,0,1966,0,0,0,1,0,5.0,5.0,1.0,0.32400113074663095,0,0,0,0,0,0,5.0,4.0,0,0,0,0.573,0,0,0,0,0
79,Trinidad and Tobago,0,0,1976,0,0,0,1,1,5.0,5.0,2.0,1.0335466239665592,0,0,0,0,1,0,5.0,14.0,0,0,0,0.563,0,0,0,1,0
89,Mexico,0,0,1946,0,0,0,0,1,2.0,3.0,1.0,0.0,0,0,0,0,0,0,3.0,6.0,0,0,0,0.195,0,1,0,0,0
90,Mexico,1,0,1952,0,0,0,0,1,2.0,3.0,1.0,0.039422294339267125,0,0,0,0,0,0,3.0,6.0,0,0,1,0.201,1,1,1,0,1
91,Mexico,0,0,1958,0,0,0,0,1,2.0,3.0,1.0,0.048491979941513635,0,0,0,0,0,0,3.0,6.0,0,0,1,0.249,0,0,0,0,1
