cowcode,year,gwf_casename,startdate,enddate,spell,duration,gwf_fail,gwf_fail_subs,gwf_fail_type,gwf_fail_violent,jan1leader,duration_ldr,ldr_fail,ldr_fail_reg_fail,ldr_fail_reg_survive,spons,any_spons,satellite,spons_spell,duration_spons,ptcoupsuccess,ptcoupfail,regfailcoup,ldrcoup,american,russian,soviet,prc_spons,british,french,viet_spons,yugo_spons,egy_spons,comm_spons,coldwar,ally,commissar,cbcount,pcount,party,personalist,military,monarchy,communist,gdpcap,gdpcapl,logoil,e_civil_war,supportparty,ldr_group_military,seizure_coup,seizure_rebel,seizure_election
40,1960,Cuba 59-NA,1/1/59,31/12/2010,51,1,0,0,0,0,Fidel Castro,1,0,0,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,3.824940205,3.762569666,0.001809708,0,0,0,0,1,0
40,1961,Cuba 59-NA,1/1/59,31/12/2010,51,2,0,0,0,0,Fidel Castro,2,0,0,0,1,1,0,30,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,3.933410645,3.824940205,0.000990646,0,0,0,0,1,0
40,1962,Cuba 59-NA,1/1/59,31/12/2010,51,3,0,0,0,0,Fidel Castro,3,0,0,0,1,1,0,30,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,4.115098953,3.933410645,0.000695819,0,1,0,0,1,0
40,1963,Cuba 59-NA,1/1/59,31/12/2010,51,4,0,0,0,0,Fidel Castro,4,0,0,0,1,1,0,30,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,2,3,1,0,0,0,1,3.961884022,4.115098953,0.000819699,0,1,0,0,1,0
40,1964,Cuba 59-NA,1/1/59,31/12/2010,51,5,0,0,0,0,Fidel Castro,5,0,0,0,1,1,0,30,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,3,1,0,0,0,1,4.064930916,3.961884022,0.002070119,0,1,0,0,1,0
40,1965,Cuba 59-NA,1/1/59,31/12/2010,51,6,0,0,0,0,Fidel Castro,6,0,0,0,1,1,0,30,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,3,1,0,0,0,1,4.052728176,4.064930916,0.00240994,0,1,0,0,1,0
40,1966,Cuba 59-NA,1/1/59,31/12/2010,51,7,0,0,0,0,Fidel Castro,7,0,0,0,1,1,0,30,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,3,1,0,0,0,1,4.161198616,4.052728176,0.003622194,0,1,0,0,1,0
40,1967,Cuba 59-NA,1/1/59,31/12/2010,51,8,0,0,0,0,Fidel Castro,8,0,0,0,1,1,0,30,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,1,4.223568916,4.161198616,0.004290723,0,1,0,0,1,0
40,1968,Cuba 59-NA,1/1/59,31/12/2010,51,9,0,0,0,0,Fidel Castro,9,0,0,0,1,1,0,30,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,1,4.239839554,4.223568916,0.00706813,0,1,0,0,1,0
40,1969,Cuba 59-NA,1/1/59,31/12/2010,51,10,0,0,0,0,Fidel Castro,10,0,0,0,1,1,0,30,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,1,4.395765781,4.239839554,0.011824371,0,1,0,0,1,0
40,1970,Cuba 59-NA,1/1/59,31/12/2010,51,11,0,0,0,0,Fidel Castro,11,0,0,0,1,1,0,30,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,1,4.485253811,4.395765781,0.012095398,0,1,0,0,1,0
40,1971,Cuba 59-NA,1/1/59,31/12/2010,51,12,0,0,0,0,Fidel Castro,12,0,0,0,1,1,0,30,11,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,1,4.798206806,4.485253811,0.009203271,0,1,0,0,1,0
40,1972,Cuba 59-NA,1/1/59,31/12/2010,51,13,0,0,0,0,Fidel Castro,13,0,0,0,1,1,0,30,12,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,1,4.937794209,4.798206806,0.006842152,0,1,0,0,1,0
40,1973,Cuba 59-NA,1/1/59,31/12/2010,51,14,0,0,0,0,Fidel Castro,14,0,0,0,1,1,0,30,13,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,1,5.011710644,4.937794209,0.006271501,0,1,0,0,1,0
40,1974,Cuba 59-NA,1/1/59,31/12/2010,51,15,0,0,0,0,Fidel Castro,15,0,0,0,1,1,0,30,14,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,1,4.978264332,5.011710644,0.007582068,0,1,0,0,1,0
40,1975,Cuba 59-NA,1/1/59,31/12/2010,51,16,0,0,0,0,Fidel Castro,16,0,0,0,1,1,0,30,15,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,1,5.366767883,4.978264332,0.017074095,0,1,0,0,1,0
40,1976,Cuba 59-NA,1/1/59,31/12/2010,51,17,0,0,0,0,Fidel Castro,17,0,0,0,1,1,0,30,16,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,1,5.577541828,5.366767883,0.022514168,0,1,0,0,1,0
40,1977,Cuba 59-NA,1/1/59,31/12/2010,51,18,0,0,0,0,Fidel Castro,18,0,0,0,1,1,0,30,17,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,1,5.990586281,5.577541828,0.025210313,0,1,0,0,1,0
40,1978,Cuba 59-NA,1/1/59,31/12/2010,51,19,0,0,0,0,Fidel Castro,19,0,0,0,1,1,0,30,18,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,1,6.326067448,5.990586281,0.02858359,0,1,0,0,1,0
40,1979,Cuba 59-NA,1/1/59,31/12/2010,51,20,0,0,0,0,Fidel Castro,20,0,0,0,1,1,0,30,19,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,3,1,0,0,0,1,6.350533009,6.326067448,0.032431386,0,1,0,0,1,0
40,1980,Cuba 59-NA,1/1/59,31/12/2010,51,21,0,0,0,0,Fidel Castro,21,0,0,0,1,1,0,30,20,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,4,1,0,0,0,1,6.058897495,6.350533009,0.034691319,0,1,0,0,1,0
40,1981,Cuba 59-NA,1/1/59,31/12/2010,51,22,0,0,0,0,Fidel Castro,22,0,0,0,1,1,0,30,21,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,4,1,0,0,0,1,7.201984406,6.058897495,0.036426611,0,1,0,0,1,0
40,1982,Cuba 59-NA,1/1/59,31/12/2010,51,23,0,0,0,0,Fidel Castro,23,0,0,0,1,1,0,30,22,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,4,1,0,0,0,1,7.810788631,7.201984406,0.037958544,0,1,0,0,1,0
40,1983,Cuba 59-NA,1/1/59,31/12/2010,51,24,0,0,0,0,Fidel Castro,24,0,0,0,1,1,0,30,23,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,4,1,0,0,0,1,8.173756599,7.810788631,0.053889524,0,1,0,0,1,0
40,1984,Cuba 59-NA,1/1/59,31/12/2010,51,25,0,0,0,0,Fidel Castro,25,0,0,0,1,1,0,30,24,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,4,1,0,0,0,1,8.758168221,8.173756599,0.067756288,0,1,0,0,1,0
40,1985,Cuba 59-NA,1/1/59,31/12/2010,51,26,0,0,0,0,Fidel Castro,26,0,0,0,1,1,0,30,25,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,4,1,0,0,0,1,8.609043121,8.758168221,0.075494789,0,1,0,0,1,0
40,1986,Cuba 59-NA,1/1/59,31/12/2010,51,27,0,0,0,0,Fidel Castro,27,0,0,0,1,1,0,30,26,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,4,1,0,0,0,1,8.667133331,8.609043121,0.086186811,0,1,0,0,1,0
40,1987,Cuba 59-NA,1/1/59,31/12/2010,51,28,0,0,0,0,Fidel Castro,28,0,0,0,1,1,0,30,27,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,4,1,0,0,0,1,8.618877411,8.667133331,0.090864152,0,1,0,0,1,0
40,1988,Cuba 59-NA,1/1/59,31/12/2010,51,29,0,0,0,0,Fidel Castro,29,0,0,0,1,1,0,30,28,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,4,1,0,0,0,1,8.802252769,8.618877411,0.088170111,0,1,0,0,1,0
40,1989,Cuba 59-NA,1/1/59,31/12/2010,51,30,0,0,0,0,Fidel Castro,30,0,0,0,1,1,0,30,29,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,1,8.794423103,8.802252769,0.072747603,0,1,0,0,1,0
40,1990,Cuba 59-NA,1/1/59,31/12/2010,51,31,0,0,0,0,Fidel Castro,31,0,0,0,1,1,0,30,30,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,1,8.314229012,8.794423103,0.072078474,0,1,0,0,1,0
40,1991,Cuba 59-NA,1/1/59,31/12/2010,51,32,0,0,0,0,Fidel Castro,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,1,7.821555614,8.314229012,0.070211418,0,1,0,0,1,0
40,1992,Cuba 59-NA,1/1/59,31/12/2010,51,33,0,0,0,0,Fidel Castro,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,6.910847664,7.821555614,0.069923036,0,1,0,0,1,0
40,1993,Cuba 59-NA,1/1/59,31/12/2010,51,34,0,0,0,0,Fidel Castro,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,6.136800766,6.910847664,0.082909673,0,1,0,0,1,0
40,1994,Cuba 59-NA,1/1/59,31/12/2010,51,35,0,0,0,0,Fidel Castro,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,6.167069435,6.136800766,0.090474419,0,1,0,0,1,0
40,1995,Cuba 59-NA,1/1/59,31/12/2010,51,36,0,0,0,0,Fidel Castro,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,6.142511368,6.167069435,0.111546114,0,1,0,0,1,0
40,1996,Cuba 59-NA,1/1/59,31/12/2010,51,37,0,0,0,0,Fidel Castro,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,6.376392365,6.142511368,0.122550584,0,1,0,0,1,0
40,1997,Cuba 59-NA,1/1/59,31/12/2010,51,38,0,0,0,0,Fidel Castro,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,6.509581566,6.376392365,0.130251393,0,1,0,0,1,0
40,1998,Cuba 59-NA,1/1/59,31/12/2010,51,39,0,0,0,0,Fidel Castro,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,6.566936016,6.509581566,0.134040043,0,1,0,0,1,0
40,1999,Cuba 59-NA,1/1/59,31/12/2010,51,40,0,0,0,0,Fidel Castro,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,6.934244633,6.566936016,0.142721906,0,1,0,0,1,0
40,2000,Cuba 59-NA,1/1/59,31/12/2010,51,41,0,0,0,0,Fidel Castro,41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,7.196916103,6.934244633,0.165769517,0,1,0,0,1,0
40,2001,Cuba 59-NA,1/1/59,31/12/2010,51,42,0,0,0,0,Fidel Castro,42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,7.436013699,7.196916103,0.172790796,0,1,0,0,1,0
40,2002,Cuba 59-NA,1/1/59,31/12/2010,51,43,0,0,0,0,Fidel Castro,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,7.62618494,7.436013699,0.202009678,0,1,0,0,1,0
